Field,Type,Description
project_id,int,
prediction_id,int,
id,int,Unique identifier of the power plant in PlantPredict.
result_list,list,
blocks,list,See table **Contents of dictionary** :py:attr:`blocks` below.
transformers,list,
transmission_lines,list,
ess,dict,
export_system,bool,
export_ess,bool,
lgia_limit_time_series_id,int,
lgia_limit_time_series,,
use_lgia_limit_time_series,bool,
power_factor,float,Automatically calculated and udpated when :py:meth:`~plantpredict.powerplant.PowerPlant.create` or :py:meth:`~plantpredict.powerplant.PowerPlant.update` are called.
lgia_limitation,float,MIN 0 MAX 2000
availability_loss,float,MIN 0 MAX 25
use_cooling_temp,bool,
total_module_area,float,
max_mv_transformer_voltage,float,
maximum_plant_output,float,
